Campaign,Campaign Type,Campaign Status,Budget,Budget type,Networks,Languages,Location,Bid Strategy Type,Ad rotation,Ad Group,Ad Group Type,Ad Group Status,Keyword,Criterion Type,Status,Ad type,Ad Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Sitelink text,Sitelink final URL,Sitelink description 1,Sitelink description 2,Callout text,Structured snippet header,Structured snippet values,Phone number,Country code
Relais — Parents France,Search,Paused,20,Daily,Google search,French,Israel;Switzerland;Belgium;Luxembourg;United Kingdom;United States;Canada;United Arab Emirates;Singapore;Hong Kong,Maximize conversions,Optimize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,Standard,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,aider parents administratif à distance,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,aider parents administratif à distance,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,gérer démarches parents âgés expatrié,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,gérer démarches parents âgés expatrié,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,service administratif personnes âgées,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,service administratif personnes âgées,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,aide administrative parents âgés,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,aide administrative parents âgés,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,aide administrative personne âgée,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,aide administrative personne âgée,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relais — Parents France,,,,,,,,,,Intention directe,,,assistant administratif parent âgé,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
